DOI,title,author,year,times_seen
10.1093/jac/dkx093,Dose optimization of piperacillin/tazobactam in critically ill children,De Cock,2017,6
10.1007/s40272-014-0093-1,Optimized Antimicrobial Dosing Strategies: A Survey of Pediatric Hospitals,Knoderer,2014,1
10.1097/cce.0000000000000446,Setting the Beta-Lactam Therapeutic Range for Critically Ill Patients: Is There a Floor or Even a Ceiling?,Barreto,2021,7
10.1128/cmr.00007-10,Penetration of Drugs through the Blood-Cerebrospinal Fluid/Blood-Brain Barrier for Treatment of Central Nervous System Infections,Nau,2010,1
10.1097/inf.0000000000002663,Paradoxical Antibiotic Effect of Ampicillin,Ericson,2020,5
10.1128/aac.36.3.540,Correlation of various in vitro testing methods with clinical outcomes in patients with Bacteroides fragilis group infections treated with cefoxitin: a retrospective analysis,Snydman,2012,2
10.1016/j.ijantimicag.2018.10.004,Quantifying the importance of active antimicrobial therapy among patients with Gram-negative bloodstream infections: Cefepime as a representative agent,Miglis,2018,1
10.1128/jcm.41.8.3655-3660.2003,Epidemiology and Outcome of Nosocomial and Community-Onset Bloodstream Infection,Diekema,2003,1
10.1007/s40262-017-0602-9,Population Pharmacokinetic Model to Optimize Cefotaxime Dosing Regimen in Critically Ill Children,Béranger,2017,5
10.1097/pcc.0000000000000847,Epidemiology of Sepsis in Children Admitted to PICUs in South America*,de Souza,2016,4
10.1097/pcc.0000000000000254,Pediatric Severe Sepsis,Ruth,2014,1
10.1097/00003246-200107000-00002,"Epidemiology of severe sepsis in the United States: Analysis of incidence, outcome, and associated costs of care",Angus,2003,3
10.1007/s001340050041,Incidence and mortality of severe sepsis in surgical intensive care patients: the influence of patient gender on disease process and outcome,Wichmann,2002,1
10.1186/s13054-017-1829-4,Role of renal function in risk assessment of target non-attainment after standard dosing of meropenem in critically ill patients: a prospective observational study,Ehmann,2017,1
10.1186/s13054-015-0818-8,A multicenter study on the effect of continuous hemodiafiltration intensity on antibiotic pharmacokinetics,Roberts,2015,1
10.2165/00003088-200746120-00003,Pharmacokinetic Considerations for Antimicrobial Therapy in Patients Receiving Renal Replacement Therapy,Pea,2009,1
10.1177/0091270005280583,Meropenem and Continuous Renal Replacement Therapy: In Vitro Permeability of 2 Continuous Renal Replacement Therapy Membranes and Influence of Patient Renal Function on the Pharmacokinetics in Critically Ill Patients,Isla,2005,1
10.1016/s0272-6386(99)70076-4,Diffusive and convective solute clearances during continuous renal replacement therapy at various dialysate and ultrafiltration flow rates,Brunet,2008,1
10.1016/s0272-6386(97)90536-9,The role of renal replacement therapy quantification in acute renal failure,Clark,2008,1
10.1016/s0272-6386(12)80984-x,Urea Index and Other Predictors of Hemodialysis Patient Survival,Collins,2014,1
10.1016/s0272-6386(12)70354-2,"Proceedings From the Morbidity, Mortality and Prescription of Dialysis Symposium, Dallas, TX, September 15 to 17, 1989",Hull,2014,1
10.1093/cid/ciu027,DALI: Defining Antibiotic Levels in Intensive Care Unit Patients: Are Current  -Lactam Antibiotic Doses Sufficient for Critically Ill Patients?,Roberts,2014,9
10.2165/11318140-000000000-00000,Augmented Renal Clearance,Udy,2009,3
10.1378/chest.118.1.146,The Influence of Inadequate Antimicrobial Treatment of Bloodstream Infections on Patient Outcomes in the ICU Setting,Ibrahim,2003,1
10.1086/520311,Vancomycin‐Resistant and Vancomycin‐Susceptible Enterococcal Bacteremia: Comparison of Clinical Features and Outcomes,Lucas,2007,1
10.1086/313692,National Survey of Extended-Interval Aminoglycoside Dosing,Chuck,2002,1
10.1093/clinids/24.5.820,Editorial Response: Single Daily Dosing of Aminoglycosides--A Concept Whose Time Has Not Yet Come,Bertino,2011,1
10.1128/aac.00654-17,Neurotoxic Concentration of Piperacillin during Continuous Infusion in Critically Ill Patients,Quinton,2017,4
10.1007/s10096-005-0021-y,Neurotoxicity induced by beta-lactam antibiotics: from bench to bedside,Chow,2005,3
10.1007/s00134-001-1170-9,Cefepime-induced neurotoxicity: an underestimated complication of antibiotherapy in patients with acute renal failure,Chatellier,2003,1
10.1128/aac.00144-06,"β-Lactam MICs Correlate Poorly with Mutant Prevention Concentrations for Clinical Isolates of
            <i>Acinetobacter</i>
            spp. and
            <i>Pseudomonas aeruginosa</i>",Gugel,2006,1
10.1016/s0732-8893(99)00121-2,Occurrence of single-point gyrA mutations among ciprofloxacin-susceptible Escherichia coli isolates causing urinary tract infections in Latin America,Gales,2002,1
10.1093/jac/29.3.349,The emergence of highly fluoroquinolone-resistant <i>Eschericha coli</i> in community-acqntred urinary tract infections,AGUIAR,2007,2
10.1001/jama.2009.1754,International Study of the Prevalence and Outcomes of Infection in Intensive Care Units,Vincent,2009,3
10.1016/j.diagmicrobio.2015.03.005,Evaluation of clinical outcomes in patients with Gram-negative bloodstream infections according to cefepime MIC,Rhodes,2015,2
10.1086/510590,Piperacillin-Tazobactam for Pseudomonas aeruginosa Infection: Clinical Implications of an Extended-Infusion Dosing Strategy,Lodise,2007,1
10.1016/s1473-3099(19)30403-7,"Ceftolozane–tazobactam versus meropenem for treatment of nosocomial pneumonia (ASPECT-NP): a randomised, controlled, double-blind, phase 3, non-inferiority trial",Kollef,2019,5
10.1198/sbr.2009.0049,Stratified Wilson and Newcombe Confidence Intervals for Multiple Binomial Proportions,Yan,2009,1
10.1016/j.jspi.2003.09.039,Confidence intervals for two sample binomial distribution,Brown,2004,1
10.2307/2685779,Simple and Effective Confidence Intervals for Proportions and Differences of Proportions Result from Adding Two Successes and Two Failures,Agresti,2006,1
10.1073/pnas.94.25.13991,DNA topoisomerase targets of the fluoroquinolones: A strategy for avoiding bacterial resistance,Zhao,2002,1
10.1128/aac.41.1.85,"A novel, double mutation in DNA gyrase A of Escherichia coli conferring resistance to quinolone antibiotics",Truong,2018,1
10.1007/s40264-017-0578-2,Neurological Adverse Effects Attributable to β-Lactam Antibiotics: A Literature Review,Deshayes,2017,1
10.1093/jac/6.2.161,Neurotoxicity of penicillin,NICHOLLS,2007,1
10.2165/00003495-200059030-00016,Meropenem,Hurst,2006,1
10.1016/s0924-8579(98)00094-6,Carbapenems in clinical practice: a guide to their use in serious infection,Bradley,2002,1
