DOI,title,author,year,times_seen
10.1093/cid/ciu027,DALI: Defining Antibiotic Levels in Intensive Care Unit Patients: Are Current  -Lactam Antibiotic Doses Sufficient for Critically Ill Patients?,Roberts,2014,1
10.1128/aac.00144-06,"β-Lactam MICs Correlate Poorly with Mutant Prevention Concentrations for Clinical Isolates of
            <i>Acinetobacter</i>
            spp. and
            <i>Pseudomonas aeruginosa</i>",Gugel,2006,1
10.1086/321841,Restricting the Selection of Antibiotic‐Resistant Mutants: A General Strategy Derived from Fluoroquinolone Studies,Zhao,2002,1
10.1002/phar.1567,"Pharmacokinetics of Continuous-Infusion Meropenem for the Treatment of <i>Serratia marcescens</i>
 Ventriculitis in a Pediatric Patient",Cies,2015,1
10.1002/(sici)1097-4636(199902)44:2<198::aid-jbm10>3.0.co;2-p,Investigation of the mechanism of the bioacoustic effect,Qian,2002,1
10.1016/j.ijid.2021.05.044,Comparison of piperacillin plasma concentrations in a prospective randomised trial of extended infusion versus intermittent bolus of piperacillin/tazobactam in paediatric patients,Chongcharoenyanon,2021,1
10.1093/cid/ciy258,"Extended vs Bolus Infusion of Broad-Spectrum β-Lactams for Febrile Neutropenia: An Unblinded, Randomized Trial",Ram,2018,1
10.1016/j.ejps.2021.105868,Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,2
10.1128/aac.39.8.1764,"Bactericidal killing activities of cefepime, ceftazidime, cefotaxime, and ceftriaxone against Staphylococcus aureus and beta-lactamase-producing strains of Enterobacter aerogenes and Klebsiella pneumoniae in an in vitro infection model",Palmer,2012,1
10.1093/jac/dkp434,In vitro pharmacodynamic models to determine the effect of antibacterial drugs,Gloede,2009,1
10.1111/j.1469-0691.2007.01710.x,A new in-vitro kinetic model to study the pharmacodynamics of antifungal agents: inhibition of the fungicidal activity of amphotericin B against Candida albicans by voriconazole,Lignell,2007,1
10.1056/nejm199401273300407,Oral Azole Drugs as Systemic Antifungal Therapy,Wood,2002,1
10.1001/archderm.122.4.413,Itraconazole therapy in lymphangitic and cutaneous sporotrichosis,Restrepo,2003,1
10.1093/jac/dkaa468,Population pharmacokinetics and dosing optimization of azlocillin in neonates with early-onset sepsis: a real-world study,Wu,2020,1
10.1111/j.1470-9465.2004.00863.x,Elements of design: the knowledge on which we build,MacGowan,2004,1
10.1093/jac/dkg116,Breakthrough pneumococcal bacteraemia in patients treated with clarithromycin or oral beta-lactams,Van Kerkhoven,2003,1
10.1128/aac.01885-13,Clinical Population Pharmacokinetics and Toxicodynamics of Linezolid,Boak,2014,1
10.1345/aph.1c361,Mechanisms for Linezolid-Induced Anemia and Thrombocytopenia,Bernstein,2003,1
10.1128/aac.00090-11,"Evaluation of Pharmacokinetic/Pharmacodynamic Relationships of PD-0162819, a Biotin Carboxylase Inhibitor Representing a New Class of Antibacterial Compounds, Using
            <i>In Vitro</i>
            Infection Models",Ogden,2011,1
10.1128/aac.48.6.2061-2068.2004,Novel Pharmacokinetic-Pharmacodynamic Model forPrediction of Outcomes with an Extended-Release FormulationofCiprofloxacin,Meagher,2004,1
10.1128/aac.31.11.1809,Comparative activities of ciprofloxacin and ceftazidime against Klebsiella pneumoniae in vitro and in experimental pneumonia in leukopenic rats,Roosendaal,2012,1
10.1097/ftd.0000000000000937,Barriers and Facilitators in the Clinical Implementation of Beta-Lactam Therapeutic Drug Monitoring in Critically Ill Patients: A Critical Review,Abdulla,2021,1
10.3389/fped.2021.624639,Model-Informed Precision Dosing of Antibiotics in Pediatric Patients: A Narrative Review,Abdulla,2021,1
10.1038/aps.2016.163,Development of a novel individualized warfarin dose algorithm based on a population pharmacokinetic model with improved prediction accuracy for Chinese patients after heart valve replacement,Zhu,2017,1
10.1038/sj.clpt.6100084,"A PK–PD Model for Predicting the Impact of Age, CYP2C9, and VKORC1 Genotype on Individualization of Warfarin Therapy",Hamberg,2007,1
10.1002/cpt1974154424,Pharmacokinetics and pharmacodynamics of the enantiomers of warfarin in man,Breckenridge,2016,1
10.1186/s12879-020-4781-x,The effect of therapeutic drug monitoring of beta-lactam and fluoroquinolones on clinical outcome in critically ill patients: the DOLPHIN trial protocol of a multi-centre randomised controlled trial,Abdulla,2020,1
10.1007/s00134-015-4188-0,"Beta-Lactam Infusion in Severe Sepsis (BLISS): a prospective, two-centre, open-labelled randomised controlled trial of continuous versus intermittent beta-lactam infusion in critically ill patients with severe sepsis",Abdul-Aziz,2016,1
10.1093/jac/43.1.79,Pharmacodynamics of levofloxacin and ciprofloxacin against Streptococcus pneumoniae,Lister,2002,1
10.1186/cc13938,Beta-lactam dosing in critically ill patients with septic shock and continuous renal replacement therapy,Ulldemolins,2014,1
10.1007/s001340050424,"Pharmacokinetics of piperacillin  and tazobactam in critically ill patients with renal failure, treated with continuous veno-venous hemofiltration (CVVH)",van der Werf,2002,1
10.1016/s0140-6736(98)04474-2,Association of polymorphisms in the cytochrome P450 CYP2C9 with warfarin dose requirement and risk of bleeding complications,Aithal,2002,1
10.1007/s00134-013-3187-2,Therapeutic drug monitoring-based dose optimisation of piperacillin and meropenem: a randomised controlled trial,De Waele,2013,2
